"79","110","2/12/2012 12:00:00 AM","4000.00","","","","Active","Private"
"72","24","5/1/2012 12:00:00 AM","5500.00","","","","Active","Private"
"70","108","2/14/2012 12:00:00 AM","6000.00","","","","Active","Private"
"69","10","5/22/2012 12:00:00 AM","6600.00","","","","Active","Bank"
"48","59","2/28/2012 12:00:00 AM","6900.00","","","","Active","Bank"
"71","130","1/23/2012 12:00:00 AM","7000.00","","","","Active","Bank"
"87","130","1/23/2012 12:00:00 AM","7500.00","","","","Active","Bank"
"83","37","4/24/2012 12:00:00 AM","8000.00","","","","Active","Bank"
"84","8","5/24/2012 12:00:00 AM","8600.00","","","","Active","Private"
"89","2","5/29/2012 12:00:00 AM","8900.00","","","","Active","Bank"
"73","119","2/3/2012 12:00:00 AM","9592.00","","","","Active","Private"
"85","324","7/13/2011 12:00:00 AM","9900.00","","0.00","","Active","Bank"
"64","25","5/7/2012 12:00:00 AM","9900.00","","","","Active","Bank"
"72","4","5/28/2012 12:00:00 AM","9900.00","","","","Active","Private"
"82","92","1/26/2012 12:00:00 AM","10000.00","","","","Active","Private"
"91","79","3/14/2012 12:00:00 AM","11000.00","","","","Active","Private"
"88","29","4/27/2012 12:00:00 AM","11500.00","","","","Active","Government"
"71","8","5/21/2012 12:00:00 AM","11500.00","","","","Active","Bank"
"69","324","7/13/2011 12:00:00 AM","11900.00","","0.00","","Active","Bank"
"88","497","1/7/2011 12:00:00 AM","12000.00","","0.00","","Active","Private"
"62","242","9/22/2011 12:00:00 AM","12000.00","","0.00","","Active","Private"
"56","18","5/2/2012 12:00:00 AM","12000.00","","","","Active","Government"
"74","324","7/13/2011 12:00:00 AM","13900.00","","0.00","","Active","Bank"
"111","16","5/16/2012 12:00:00 AM","15000.00","","","","Active","Private"
"91","14","5/18/2012 12:00:00 AM","15000.00","","","","Active","Bank"
"73","123","1/27/2012 12:00:00 AM","15200.00","","","","Active","Bank"
"67","21","5/11/2012 12:00:00 AM","15500.00","","","","Active","Owner by Contract"
"82","645","6/21/2010 12:00:00 AM","16000.00","","0.00","","Active","Bank"
"","74","3/16/2012 12:00:00 AM","16500.00","","","","Active","Private"
"58","77","3/14/2012 12:00:00 AM","17100.00","","","","Active","Private"
"55","24","4/30/2012 12:00:00 AM","17500.00","","","","Active","Private"
"64","204","11/10/2011 12:00:00 AM","17900.00","","0.00","","Active","Private"
"61","178","12/5/2011 12:00:00 AM","18000.00","","0.00","","Active","Private"
"86","67","3/22/2012 12:00:00 AM","18000.00","","","","Active","Private"
"79","67","3/22/2012 12:00:00 AM","19000.00","","","","Active","Private"
"69","25","5/7/2012 12:00:00 AM","19900.00","","","","Active","Private"
"75","18","5/14/2012 12:00:00 AM","19900.00","","","","Active","Private"
"61","16","5/16/2012 12:00:00 AM","19900.00","","","","Active","Private"
"61","3","5/29/2012 12:00:00 AM","19900.00","","","","Active","Owner by Contract"
"94","92","1/26/2012 12:00:00 AM","20000.00","","","","Active","Private"
"35","92","1/26/2012 12:00:00 AM","20000.00","","","","Active","Private"
"72","24","5/8/2012 12:00:00 AM","21000.00","","","","Active","Owner by Contract"
"71","8","5/24/2012 12:00:00 AM","21000.00","","","","Active","Private"
"85","101","2/21/2012 12:00:00 AM","23000.00","","","","Active","Private"
"","74","3/16/2012 12:00:00 AM","23500.00","","","","Active","Private"
"81","242","10/3/2011 12:00:00 AM","24900.00","","0.00","","Active","Private"
"55","19","5/13/2012 12:00:00 AM","24900.00","","","","Active","Private"
"86","10","5/21/2012 12:00:00 AM","24900.00","","","","Active","Private"
"84","92","1/26/2012 12:00:00 AM","25000.00","","","","Active","Private"
"62","67","3/26/2012 12:00:00 AM","25000.00","","","","Active","Private"
"66","48","4/14/2012 12:00:00 AM","25000.00","","","","Active","Private"
"68","18","5/14/2012 12:00:00 AM","26900.00","","","","Active","Private"
"68","361","6/1/2011 12:00:00 AM","29399.00","","0.00","","Active","Private"
"69","343","6/24/2011 12:00:00 AM","29900.00","","0.00","","Active","Private"
"71","94","2/28/2012 12:00:00 AM","29900.00","","","","Active","Private"
"58","18","5/14/2012 12:00:00 AM","29900.00","","","","Active","Private"
"71","59","4/2/2012 12:00:00 AM","29950.00","","","","Active","Bank"
"63","92","1/26/2012 12:00:00 AM","30000.00","","","","Active","Private"
"59","361","6/1/2011 12:00:00 AM","31900.00","","0.00","","Active","Private"
"59","45","4/16/2012 12:00:00 AM","34900.00","","","","Active","Private"
"65","46","4/16/2012 12:00:00 AM","34900.00","","","","Active","Government"
"70","44","4/18/2012 12:00:00 AM","34900.00","","","","Active","Private"
"71","300","7/28/2011 12:00:00 AM","35000.00","","0.00","","Active","Private"
"89","115","2/7/2012 12:00:00 AM","35000.00","","","","Active","Private"
"70","88","3/5/2012 12:00:00 AM","35000.00","","","","Active","Private"
"66","90","1/26/2012 12:00:00 AM","35000.00","","","","Active","Private"
"55","9","5/23/2012 12:00:00 AM","37000.00","","","","Active","Government"
"49","143","1/9/2012 12:00:00 AM","38900.00","","","","Active","Private"
"88","221","10/23/2011 12:00:00 AM","39900.00","","0.00","","Active","Private"
"41","10","5/22/2012 12:00:00 AM","39900.00","","","","Active","Private"
"74","92","1/26/2012 12:00:00 AM","40000.00","","","","Active","Private"
"9","90","1/26/2012 12:00:00 AM","40000.00","","","","Active","Private"
"60","90","1/26/2012 12:00:00 AM","40000.00","","","","Active","Private"
"99","79","3/14/2012 12:00:00 AM","42500.00","","","","Active","Bank"
"58","51","4/10/2012 12:00:00 AM","42900.00","","","","Active","Private"
"71","210","11/1/2011 12:00:00 AM","43000.00","","0.00","","Active","Bank"
"112","92","1/26/2012 12:00:00 AM","45000.00","","","","Active","Private"
"43","25","5/5/2012 12:00:00 AM","46500.00","","","","Active","Private"
"71","136","1/17/2012 12:00:00 AM","48750.00","","","","Active","Private"
"64","301","8/5/2011 12:00:00 AM","49900.00","","0.00","","Active","Private"
"57","135","1/15/2012 12:00:00 AM","49900.00","","","","Active","Private"
"54","51","4/11/2012 12:00:00 AM","49900.00","","","","Active","Private"
"57","67","3/23/2012 12:00:00 AM","50000.00","","","","Active","Private"
"56","106","2/16/2012 12:00:00 AM","54900.00","","","","Active","Private"
"55","131","1/21/2012 12:00:00 AM","55000.00","","","","Active","Private"
"71","144","1/9/2012 12:00:00 AM","55105.00","","0.00","","Active","Bank"
"64","51","4/11/2012 12:00:00 AM","57500.00","","","","Active","Private"
"44","437","3/21/2011 12:00:00 AM","59000.00","","0.00","","Active","Private"
"57","308","7/24/2011 12:00:00 AM","60000.00","","0.00","","Active","Private"
"71","140","1/12/2012 12:00:00 AM","64900.00","","","","Active","Private"
"53","93","2/29/2012 12:00:00 AM","68900.00","","","","Active","Private"
"63","42","4/20/2012 12:00:00 AM","68900.00","","","","Active","Private"
"62","78","3/15/2012 12:00:00 AM","69500.00","","","","Active","Private"
"41","168","12/16/2011 12:00:00 AM","70000.00","","0.00","","Active","Private"
"103","183","12/1/2011 12:00:00 AM","77805.00","","0.00","","Active","Private"
"63","810","3/1/2010 12:00:00 AM","79900.00","","0.00","","Active","Private"
"57","47","4/12/2012 12:00:00 AM","79900.00","","","","Active","Private"
"","136","1/16/2012 12:00:00 AM","94000.00","","","","Active","Private"
"","136","1/16/2012 12:00:00 AM","94000.00","","","","Active","Private"
"86","30","7/27/2011 12:00:00 AM","3000.00","10/10/2011 12:00:00 AM","1000.00","8/28/2011 12:00:00 AM","Sold","Bank"
"76","47","12/8/2011 12:00:00 AM","4000.00","2/16/2012 12:00:00 AM","2250.00","1/23/2012 12:00:00 AM","Sold","Private"
"0","69","12/9/2011 12:00:00 AM","2900.00","2/24/2012 12:00:00 AM","2900.00","2/15/2012 12:00:00 AM","Sold","Private"
"86","51","4/20/2011 12:00:00 AM","4000.00","6/23/2011 12:00:00 AM","3000.00","6/10/2011 12:00:00 AM","Sold","Government"
"69","82","9/7/2011 12:00:00 AM","3900.00","12/12/2011 12:00:00 AM","3500.00","11/28/2011 12:00:00 AM","Sold","Bank"
"111","62","8/2/2011 12:00:00 AM","4500.00","10/14/2011 12:00:00 AM","3600.00","10/3/2011 12:00:00 AM","Sold","Bank"
"91","44","1/18/2011 12:00:00 AM","6000.00","7/15/2011 12:00:00 AM","4000.00","6/20/2011 12:00:00 AM","Sold","Bank"
"53","42","6/27/2011 12:00:00 AM","6000.00","8/17/2011 12:00:00 AM","4000.00","8/8/2011 12:00:00 AM","Sold","Government"
"51","57","4/19/2011 12:00:00 AM","8000.00","6/28/2011 12:00:00 AM","4500.00","6/16/2011 12:00:00 AM","Sold","Government"
"81","41","12/8/2011 12:00:00 AM","4500.00","1/25/2012 12:00:00 AM","4500.00","1/18/2012 12:00:00 AM","Sold","Private"
"0","32","12/8/2011 12:00:00 AM","5200.00","1/13/2012 12:00:00 AM","4600.00","1/9/2012 12:00:00 AM","Sold","Private"
"64","91","1/24/2012 12:00:00 AM","7500.00","4/26/2012 12:00:00 AM","4800.00","4/25/2012 12:00:00 AM","Sold","Bank"
"76","622","6/18/2010 12:00:00 AM","7000.00","4/6/2012 12:00:00 AM","5000.00","3/5/2012 12:00:00 AM","Sold","Bank"
"60","1","4/19/2011 12:00:00 AM","5000.00","6/22/2011 12:00:00 AM","5000.00","5/4/2011 12:00:00 AM","Sold","Private"
"91","70","9/30/2011 12:00:00 AM","5000.00","12/28/2011 12:00:00 AM","5000.00","12/12/2011 12:00:00 AM","Sold","Bank"
"58","27","12/9/2011 12:00:00 AM","5000.00","1/16/2012 12:00:00 AM","5000.00","1/5/2012 12:00:00 AM","Sold","Private"
"61","18","4/13/2011 12:00:00 AM","5000.00","7/8/2011 12:00:00 AM","5300.00","5/9/2011 12:00:00 AM","Sold","Government"
"84","93","7/18/2011 12:00:00 AM","6500.00","11/4/2011 12:00:00 AM","5500.00","10/21/2011 12:00:00 AM","Sold","Bank"
"59","184","3/14/2011 12:00:00 AM","8000.00","1/6/2012 12:00:00 AM","6000.00","12/7/2011 12:00:00 AM","Sold","Private"
"87","244","7/21/2011 12:00:00 AM","6000.00","4/9/2012 12:00:00 AM","6000.00","3/22/2012 12:00:00 AM","Sold","Private"
"75","88","12/22/2011 12:00:00 AM","7500.00","4/13/2012 12:00:00 AM","6000.00","3/26/2012 12:00:00 AM","Sold","Bank"
"70","70","12/8/2011 12:00:00 AM","6300.00","2/24/2012 12:00:00 AM","6300.00","2/15/2012 12:00:00 AM","Sold","Private"
"92","99","1/23/2012 12:00:00 AM","7000.00","5/15/2012 12:00:00 AM","6500.00","5/1/2012 12:00:00 AM","Sold","Bank"
"71","100","4/7/2011 12:00:00 AM","6800.00","12/14/2011 12:00:00 AM","6800.00","11/2/2011 12:00:00 AM","Sold","Government"
"79","48","7/5/2011 12:00:00 AM","8500.00","9/2/2011 12:00:00 AM","7000.00","8/22/2011 12:00:00 AM","Sold","Bank"
"86","57","11/25/2011 12:00:00 AM","10900.00","2/13/2012 12:00:00 AM","7000.00","1/24/2012 12:00:00 AM","Sold","Government"
"52","16","12/2/2011 12:00:00 AM","9900.00","1/9/2012 12:00:00 AM","7000.00","12/23/2011 12:00:00 AM","Sold","Bank"
"86","112","1/3/2012 12:00:00 AM","7000.00","4/25/2012 12:00:00 AM","7000.00","4/24/2012 12:00:00 AM","Sold","Private"
"58","33","5/19/2011 12:00:00 AM","9400.00","7/11/2011 12:00:00 AM","7200.00","6/21/2011 12:00:00 AM","Sold","Private"
"72","22","10/27/2011 12:00:00 AM","7000.00","3/5/2012 12:00:00 AM","7200.00","1/24/2012 12:00:00 AM","Sold","Government"
"84","14","1/20/2012 12:00:00 AM","7200.00","2/17/2012 12:00:00 AM","7200.00","2/3/2012 12:00:00 AM","Sold","Bank"
"65","77","12/29/2010 12:00:00 AM","9000.00","7/11/2011 12:00:00 AM","7250.00","6/1/2011 12:00:00 AM","Sold","Bank"
"60","5","12/16/2011 12:00:00 AM","7500.00","1/20/2012 12:00:00 AM","7500.00","12/22/2011 12:00:00 AM","Sold","Bank"
"31","67","2/17/2012 12:00:00 AM","9900.00","5/15/2012 12:00:00 AM","7500.00","5/2/2012 12:00:00 AM","Sold","Private"
"58","6","10/13/2011 12:00:00 AM","6000.00","11/1/2011 12:00:00 AM","7600.00","10/19/2011 12:00:00 AM","Sold","Government"
"73","190","6/6/2011 12:00:00 AM","7700.00","3/16/2012 12:00:00 AM","7700.00","3/16/2012 12:00:00 AM","Sold","Private"
"52","536","6/18/2010 12:00:00 AM","9000.00","12/19/2011 12:00:00 AM","8000.00","12/9/2011 12:00:00 AM","Sold","Bank"
"0","31","12/11/2011 12:00:00 AM","9900.00","1/20/2012 12:00:00 AM","8000.00","1/12/2012 12:00:00 AM","Sold","Private"
"82","28","2/29/2012 12:00:00 AM","12000.00","4/25/2012 12:00:00 AM","8000.00","3/26/2012 12:00:00 AM","Sold","Private"
"53","14","3/30/2012 12:00:00 AM","9500.00","5/2/2012 12:00:00 AM","8000.00","4/13/2012 12:00:00 AM","Sold","Bank"
"87","8","4/16/2012 12:00:00 AM","8000.00","5/8/2012 12:00:00 AM","8000.00","4/20/2012 12:00:00 AM","Sold","Government"
"71","23","5/2/2011 12:00:00 AM","8900.00","7/6/2011 12:00:00 AM","8400.00","5/25/2011 12:00:00 AM","Sold","Bank"
"85","16","5/27/2011 12:00:00 AM","10200.00","6/30/2011 12:00:00 AM","8500.00","6/16/2011 12:00:00 AM","Sold","Government"
"74","41","11/8/2011 12:00:00 AM","11000.00","1/13/2012 12:00:00 AM","8500.00","12/19/2011 12:00:00 AM","Sold","Bank"
"70","24","10/7/2011 12:00:00 AM","8900.00","11/18/2011 12:00:00 AM","8600.00","10/31/2011 12:00:00 AM","Sold","Government"
"62","61","12/30/2010 12:00:00 AM","7744.00","6/9/2011 12:00:00 AM","8801.00","4/12/2011 12:00:00 AM","Sold","Government"
"69","95","10/20/2010 12:00:00 AM","9000.00","10/4/2011 12:00:00 AM","9000.00","5/23/2011 12:00:00 AM","Sold","Bank"
"59","10","7/28/2011 12:00:00 AM","12000.00","8/12/2011 12:00:00 AM","9000.00","8/8/2011 12:00:00 AM","Sold","Bank"
"79","168","8/8/2011 12:00:00 AM","11000.00","2/1/2012 12:00:00 AM","9000.00","1/23/2012 12:00:00 AM","Sold","Private"
"51","68","9/8/2011 12:00:00 AM","9900.00","11/28/2011 12:00:00 AM","9000.00","11/15/2011 12:00:00 AM","Sold","Bank"
"91","11","4/27/2011 12:00:00 AM","11000.00","6/22/2011 12:00:00 AM","9601.00","5/16/2011 12:00:00 AM","Sold","Government"
"69","10","3/8/2011 12:00:00 AM","10000.00","8/9/2011 12:00:00 AM","10000.00","3/28/2011 12:00:00 AM","Sold","Government"
"72","46","5/5/2011 12:00:00 AM","12000.00","7/7/2011 12:00:00 AM","10000.00","6/28/2011 12:00:00 AM","Sold","Government"
"61","10","8/31/2011 12:00:00 AM","14850.00","9/23/2011 12:00:00 AM","10000.00","9/11/2011 12:00:00 AM","Sold","Bank"
"64","12","10/27/2011 12:00:00 AM","9900.00","12/13/2011 12:00:00 AM","10000.00","11/8/2011 12:00:00 AM","Sold","Bank"
"56","38","12/26/2011 12:00:00 AM","12000.00","2/24/2012 12:00:00 AM","10000.00","2/2/2012 12:00:00 AM","Sold","Government"
"72","22","4/25/2011 12:00:00 AM","9000.00","6/20/2011 12:00:00 AM","10211.00","5/19/2011 12:00:00 AM","Sold","Bank"
"47","36","8/24/2011 12:00:00 AM","11900.00","12/23/2011 12:00:00 AM","10222.00","9/30/2011 12:00:00 AM","Sold","Bank"
"57","7","6/22/2011 12:00:00 AM","7499.00","8/4/2011 12:00:00 AM","10311.00","6/30/2011 12:00:00 AM","Sold","Bank"
"85","19","4/12/2011 12:00:00 AM","9000.00","6/6/2011 12:00:00 AM","10500.00","5/2/2011 12:00:00 AM","Sold","Bank"
"71","20","8/30/2011 12:00:00 AM","7500.00","10/13/2011 12:00:00 AM","10626.00","9/19/2011 12:00:00 AM","Sold","Government"
"91","78","2/1/2011 12:00:00 AM","10800.00","6/14/2011 12:00:00 AM","10800.00","4/20/2011 12:00:00 AM","Sold","Government"
"77","33","12/9/2011 12:00:00 AM","10900.00","1/20/2012 12:00:00 AM","10900.00","1/11/2012 12:00:00 AM","Sold","Private"
"71","5","2/28/2012 12:00:00 AM","14900.00","3/23/2012 12:00:00 AM","10900.00","3/5/2012 12:00:00 AM","Sold","Government"
